subject,n_test_trials,mlp_accuracy,baseline_accuracy,macro_precision,macro_recall,macro_f1,f1_Left Hand,f1_Right Hand,f1_Feet,f1_Tongue
1,288,0.5659722222222222,0.5034722222222222,0.6354176993303833,0.5659722222222222,0.5113910747974035,0.6341463414634146,0.6804123711340206,0.5810055865921788,0.15
2,288,0.2465277777777778,0.2847222222222222,0.3673143759873618,0.24652777777777776,0.1566774442000044,0.0,0.21768707482993196,0.38162544169611307,0.0273972602739726
3,288,0.5243055555555556,0.4930555555555556,0.6816227153072674,0.5243055555555556,0.5038143789416456,0.5761316872427984,0.4421052631578947,0.46464646464646464,0.5323741007194245
4,288,0.3472222222222222,0.3055555555555556,0.3503342245989305,0.3472222222222222,0.29356051418869755,0.2857142857142857,0.41935483870967744,0.02631578947368421,0.44285714285714284
5,288,0.2951388888888889,0.2847222222222222,0.2676470588235294,0.2951388888888889,0.22876888002279855,0.3448275862068966,0.3884297520661157,0.18181818181818182,0.0
6,288,0.2847222222222222,0.3333333333333333,0.2969204457007087,0.2847222222222222,0.18293407657979577,0.05333333333333334,0.0,0.2251655629139073,0.45323741007194246
7,288,0.3506944444444444,0.2847222222222222,0.2702630166398282,0.3506944444444444,0.2981623855215845,0.4380952380952381,0.45390070921985815,0.3006535947712418,0.0
8,288,0.5694444444444444,0.5243055555555556,0.6132091840172494,0.5694444444444444,0.5677936235174408,0.5283018867924528,0.6388888888888888,0.5477707006369427,0.5562130177514792
9,288,0.4236111111111111,0.4201388888888889,0.5153046218487395,0.42361111111111116,0.37947603898953175,0.48214285714285715,0.39622641509433965,0.13953488372093023,0.5
