,S01,S02,S03,S04,S05,S06,S07,S08,S09
S01,0.7701149425287356,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
S02,0.25,0.5517241379310345,0.25,0.25,0.2569444444444444,0.25,0.25,0.25,0.2013888888888889
S03,0.25,0.25,0.8275862068965517,0.25,0.25,0.25,0.25,0.25,0.25
S04,0.2326388888888889,0.2708333333333333,0.24305555555555555,0.5517241379310345,0.2534722222222222,0.22569444444444445,0.2673611111111111,0.2361111111111111,0.21180555555555555
S05,0.2361111111111111,0.34375,0.2743055555555556,0.2743055555555556,0.45977011494252873,0.20833333333333334,0.1840277777777778,0.24305555555555555,0.2638888888888889
S06,0.25,0.25,0.25,0.25,0.25,0.5517241379310345,0.25,0.25,0.25
S07,0.3298611111111111,0.1284722222222222,0.3368055555555556,0.2569444444444444,0.2638888888888889,0.23958333333333334,0.7241379310344828,0.2743055555555556,0.2881944444444444
S08,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.8045977011494253,0.25
S09,0.2604166666666667,0.2326388888888889,0.2916666666666667,0.2604166666666667,0.25,0.2708333333333333,0.2534722222222222,0.4375,0.6666666666666666
